,Date,Time,local,visit,g_loc,g_vis,m_loc,m_vis,PossH,PossA,TSH,TSA,On_TargetH,On_TargetA,Off_TargetH,Off_TargetA,BlockedH,BlockedA,PassingpcH,PassingpcA,ClearCutChancesH,ClearCutChancesA,CornersH,CornersA,OffsidesH,OffsidesA,TacklespcH,TacklespcA,AerialDuelspcH,AerialDuelspcA,SavesH,SavesA,FoulsCommittedH,FoulsCommittedA,FoulsWonH,FoulsWonA,YellowCardsH,YellowCardsA,RedCardsH,RedCardsA,Stadium,Attendance,Referee,Assistants,Fourth_official,VAR,Assistant_VAR
22,15/05/2023,20:00,Leicester,Liverpool,0,3,[],"[33, 36, 71]",33.1,66.9,4.0,16.0,4.0,5.0,0.0,6.0,0.0,5.0,69.5,85.3,1.0,3.0,4.0,4.0,3.0,4.0,47.2,66.7,52.2,47.8,2.0,4.0,11.0,17.0,17.0,11.0,2.0,1.0,0.0,0.0,The King Power Stadium,32225,Craig Pawson,"Marc Perry, James Mainwaring",Andre Marriner,Chris Kavanagh,Stuart Burt
23,14/05/2023,14:00,Brentford,West Ham,2,0,"[20, 43]",[],53.1,46.9,24.0,4.0,10.0,4.0,9.0,0.0,5.0,0.0,81.2,79.0,5.0,0.0,7.0,5.0,3.0,3.0,55.0,81.8,48.6,51.4,4.0,7.0,5.0,5.0,3.0,5.0,1.0,0.0,0.0,0.0,Gtech Community Stadium,17075,Michael Oliver,"Daniel Cook, Lee Betts",Thomas Bramall,Robert Jones,Ian Hussin
24,14/05/2023,14:00,Everton,Man City,0,3,[],"[37, 51, 39]",36.8,63.2,7.0,9.0,3.0,4.0,3.0,3.0,1.0,2.0,85.0,91.0,1.0,1.0,8.0,6.0,1.0,0.0,68.8,71.4,50.0,50.0,1.0,2.0,12.0,4.0,4.0,10.0,1.0,0.0,0.0,0.0,Goodison Park,39376,Anthony Taylor,"Adam Nunn, Gary Beswick",Graham Scott,Craig Pawson,Dan Robathan
25,14/05/2023,16:30,Arsenal,Brighton,0,3,[],"[51, 86, 90]",40.9,59.1,14.0,12.0,2.0,6.0,8.0,5.0,4.0,1.0,76.7,83.4,1.0,2.0,5.0,2.0,1.0,4.0,30.0,60.0,42.1,57.9,3.0,2.0,13.0,17.0,16.0,13.0,1.0,2.0,0.0,0.0,Emirates Stadium,60139,Andy Madley,"Nicholas Hopton, Constantine Hatzidakis",Darren England,Peter Bankes,Wade Smith
26,13/05/2023,24:30,Leeds,Newcastle,2,2,"[7, 79]","[31, 69]",36.1,63.9,9.0,18.0,4.0,5.0,3.0,7.0,2.0,6.0,64.4,80.8,0.0,0.0,2.0,6.0,0.0,2.0,52.2,57.1,37.9,62.1,3.0,2.0,16.0,14.0,13.0,14.0,3.0,2.0,1.0,0.0,Elland Road,36955,Simon Hooper,"Adrian Holmes, Mark Scholes",Graham Scott,Neil Swarbrick,Simon Bennett
27,13/05/2023,15:00,A Villa,Tottenham,2,1,"[8, 72]",[90],48.7,51.3,8.0,5.0,4.0,2.0,4.0,2.0,0.0,1.0,85.0,85.3,3.0,1.0,8.0,3.0,2.0,9.0,72.7,43.8,42.9,57.1,1.0,2.0,9.0,14.0,13.0,9.0,3.0,3.0,0.0,0.0,Villa Park,42164,Peter Bankes,"Nick Greenhalgh, Edward Smart",Anthony Taylor,Jarred Gillet,Timothy Wood
28,13/05/2023,15:00,Chelsea,N Forest,2,2,"[51, 58]","[13, 62]",76.1,23.9,14.0,11.0,6.0,2.0,3.0,7.0,5.0,2.0,89.1,60.8,1.0,3.0,2.0,5.0,1.0,2.0,64.3,53.6,55.2,44.8,0.0,4.0,13.0,15.0,15.0,11.0,3.0,1.0,0.0,0.0,Stamford Bridge,40030,Paul Tierney,"Neil Davies, Scott Ledger",Robert Jones,Stuart Attwell,Darren Cann
29,13/05/2023,15:00,C Palace,"""Bmouth""",2,0,"[39, 58]",[],59.8,40.2,17.0,5.0,5.0,0.0,7.0,1.0,5.0,4.0,85.6,80.5,2.0,0.0,11.0,2.0,2.0,1.0,72.7,50.0,42.3,57.7,0.0,3.0,5.0,12.0,12.0,5.0,0.0,2.0,0.0,0.0,Selhurst Park,25034,Michael Salisbury,"Matt Wilkes, Natalie Aspinall",James Bell,Andy Madley,Constantine Hatzidakis
30,13/05/2023,15:00,Man Utd,Wolves,2,0,"[32, 90]",[],48.0,52.0,27.0,5.0,9.0,0.0,11.0,5.0,7.0,0.0,81.8,80.4,4.0,0.0,11.0,7.0,0.0,1.0,61.5,87.5,53.3,46.7,0.0,8.0,9.0,9.0,9.0,9.0,3.0,2.0,0.0,0.0,Old Trafford,73570,John Brooks,"Richard West, Simon Long",Andre Marriner,Darren England,Marc Perry
31,13/05/2023,15:00,"""Soton""",Fulham,0,2,[],"[48, 72]",35.6,64.4,5.0,9.0,1.0,4.0,2.0,1.0,2.0,4.0,77.9,87.5,0.0,2.0,1.0,8.0,4.0,1.0,56.3,50.0,63.6,36.4,1.0,1.0,17.0,12.0,9.0,17.0,2.0,0.0,0.0,0.0,"""St. Marys Stadium""",28978,Thomas Bramall,"Derek Eaton, Steven Meredith",Gavin Ward,Tony Harrington,Nicholas Hopton
